hall,date,machine,unit,grape_denom_random,grade_random,grape_denom_cherry,grade_cherry,grape_denom,grade,games,diff,bb,rb,payout_rate
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,397,6.0197,設定5近辺,6.0945,設定4近辺,6.0945,設定4近辺,6684,-1120,22,18,94.4
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,398,6.2020,設定2近辺,6.2814,設定1未満目安,6.2814,設定1未満目安,4865,-1690,14,11,88.4
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,399,6.0573,設定4近辺,6.1330,設定3近辺,6.1330,設定3近辺,8222,590,30,36,102.4
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,400,6.6681,設定1未満目安,6.7600,設定1未満目安,6.7600,設定1未満目安,5147,-540,19,19,96.5
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,401,6.5600,設定1未満目安,6.6489,設定1未満目安,6.6489,設定1未満目安,5183,-2550,14,10,83.6
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,402,6.1126,設定3近辺,6.1897,設定2近辺,6.1897,設定2近辺,6117,-410,23,17,97.8
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,403,5.7694,設定6以上目安,5.8381,設定6以上目安,5.8381,設定6以上目安,8878,2340,35,44,108.8
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,404,6.1521,設定3近辺,6.2302,設定1近辺,6.2302,設定1近辺,4374,-740,14,14,94.4
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,405,6.0250,設定5近辺,6.0999,設定4近辺,6.0999,設定4近辺,6050,-20,25,14,99.9
パーラーゾーン姪浜,2026-08-15,ゴーゴージャグラー３,406,5.8439,設定6以上目安,5.9144,設定6以上目安,5.9144,設定6以上目安,3124,-1130,7,9,87.9
